道具を	用いて
バックギャモン専用コンピュータTDギャモンを	開発し
開発し	敗れた
チェス専用コンピュータ・ディープ・ブルーは	敗れた
5月に	打ち負かし
ガルリ・カスパロフを	打ち負かし
8月には	敗れた
オセロで	敗れた
オセロ専用コンピュータ・ロジステロに	敗れた
村上健が	敗れた
国防高等研究計画局は	明らかにした
湾岸戦争において	スケジューリングするのに
ユニットを	スケジューリングするのに
スケジューリングするのに	使い
AIを	使い
これによって	省かれた
コストが	上回った
投資全額を	上回った
ことを	明らかにした
明らかにした	指摘された
日本では	発生したが
甘利俊一日本学士院会員らが	啓蒙し
精力的に	啓蒙し
啓蒙し	発生したが
成果も	発生したが
発生したが	指摘された
ブラックボックス性が	指摘された
1998年には	提唱されたが
XMLが	提唱されたが
提唱されたが	開始された
ここから	適用し
非構造化データに対して	適用し
アプリケーション別に	適した
意味付けを	適用し
適用し	行わせる
処理を	行わせる
試みが	開始された
開始された	提唱された
同年に	行わせる
ティム・バーナーズリーにより	行わせる
Webに	行わせる
知的処理を	行わせる
セマンティック・ウェブが	提唱された
データに	付加して
意味を	付加して
付加して	行わせる
コンピュータに	行わせる
知的処理を	行わせる
方法を	規格化する
国際的に	規格化する
ものである	分かる
規格には	含まれている
オントロジーを	表現する
OWLも	含まれている
ことから	分かる
ことが	分かる
前半に	完了しているが
規格化が	完了しているが
完了しているが	していない
Web開発者にとっては	していない
開発工数に	見合うだけの
メリットが	見出せなかった
ことから	していない
現在も	していない
普及は	していない
日本においては	流行した
後に	流行した
ニューロファジィが	流行した
流行した	終焉した
研究が	進むにつれて
フレーム問題に	直面し
直面し	激変させるような
在り方を	激変させるような
AIに	至る
ブームは	終焉した
1980年代に	入って
中心に	立ち上がった
知識工学に	基づく
エキスパートシステムが	提案されるようになり
多数	提案されるようになり
提案されるようになり	立ち上がった
エキスパートシステムを	する
専門と	する
AIベンチャーも	立ち上がった
流行から	生まれた
プロジェクトとして	挙げられる
第五世代コンピュータが	挙げられる
1992年まで	至らなかった
日本は	至らなかった
国家プロジェクトとして	費やして
570億円を	費やして
研究を	進めるも
必要で	あり
専門家間で	異なる
解釈が	異なる
場合には	あり
ルール化が	行えない
問題も	あり
実現には	至らなかった
命令を	解釈して
直接	解釈して
機構で	解釈して
解釈して	実行する
高速に	実行する
Prolog専用機であるが	見つからなかった
意味で	見つからなかった
応用先が	見つからなかった
中頃にかけて	用いられてきた
従来から	用いられてきた
手法として	用いられてきた
問題を	克服する
ため	迎えた
知的制御が	研究され
盛んに	研究され
研究され	迎えた
ルールを	用いる
特徴を	学習して
学習して	分類する
2つを	融合した
手法が	迎えた
中心に	迎えた
ブームを	迎えた
高級路線に	合わせて
白物家電製品でも	増やし
種類を	増やし
大幅に	増やし
元に	最適化する
運転を	最適化する
モデルが	発売され始めた
多数	発売され始めた
ファジィについては	分かっている
2018年までに	取得している
日本が	取得している
特許を	取得している
事から	なっていた
日本で	なっていた
ブームと	なっていた
ことが	分かっている
白物家電では	用いられているが
当時より	発展した
制御技術が	用いられているが
ものに	なり
利用者には	意識されなくなっている
意識されなくなっている	行われなかった
ニューロファジィが	なった
ブームに	なった
1990年代には	行われなかった
概念は	行われなかった
2010年に	提唱された
産業応用は	行われなかった
ニューラルネットワークが	流行した
一般人も	巻き込んで
前史とも	言える
社会現象と	言える
松下電器が	持つような
1985年頃から	持つような
人間が	持つような
曖昧さを	活かす
制御に	活かす
研究を	開始し
開始し	漕ぎ着けた
1日に	漕ぎ着けた
発売に	漕ぎ着けた
従来よりも	収集した
センサーで	収集した
データに	基づいて
柔軟に	最適化する
運転を	最適化する
世界初であった	集めた
ファジィ制御という	マッチした
当時	マッチした
導入が	マッチした
高級路線にも	マッチした
ことから	集めた
ファジィは	集めた
制御技術であるにも	関わらず
注目を	集めた
金賞で	選ばれる
ファジィが	選ばれる
程であった	巻き起こした
その後に	巻き起こした
松下電器は	巻き起こした
チューニングを	自動化した
ニューロファジィ制御を	開発し
開発し	突破して
限界を	突破して
突破して	評価されるだけでなく
学会で	評価されるだけでなく
評価されるだけでなく	巻き起こした
応用にも	成功して
成功して	巻き起こした
ブームを	巻き起こした
成功を	受けて
他社も	用いる
知的制御を	用いる
製品を	発売した
多数	発売した
発売した	付与されていた
中頃までは	用いられており
白物家電の	売り文句として
売り文句として	用いられており
名称が	用いられており
大々的に	用いられており
製品名では	付与されていた
分類としては	付与されていた
運転モードでは	付与されていた
名称が	付与されていた
手法は	あった
対象を	モデル化する
数式で	モデル化する
客観的に	モデル化する
作業は	難しくなる
対象が	持つ
機構を	持つ
場合は	難しくなる
必要が	ある
現代制御等と	比較して
比較して	あった
特徴が	なる
利用可能と	なる
ニューロファジィは	あった
開発工数を	抑えながら
柔軟性を	できるという
利点が	あった
努力にも	関わらず
少なさから	改善する
制御を	改善する
程度で	迎えた
限界を	迎えた
組み合わせであり	あった
データが	与えられたとしても
潤沢に	与えられたとしても
向上には	あった
限界が	あった
以降	なった
能力限界から	進まず
改善は	進まず
遅々として	進まず
進展は	無くなり
末には	なった
知的制御を	搭載する
白物家電が	なった
大多数に	なった
ことで	去った
ブームは	去った
ブーム後は	意識されなくなったが
一般には	意識されなくなったが
意識されなくなったが	実証されている
現在では	実証されている
技術として	実証されている
家電製品のみならず	使われ
社会インフラにも	使われ
十分に	実証されている
安定性が	実証されている
実証されている	発展した
2003年頃には	発展した
人間が	設計した
オントロジー	表現するを
ファジィルールとして	表現するを
表現するを	利活用する
分野に	発展した
2005年	発表した
レイカーツワイルは	発表した
著作で	発表した
人工知能が	超越し
点で	超越し
人間を	超越し
超越し	変革する
進歩を	担い
世界を	変革する
シンギュラリティが	訪れると
2045年にも	訪れると
説を	発表した
2006年に	提案された
研究チームにより	提案された
深層化手法が	提案された
2010年代に	入り
データを	扱う
環境が	整備された
ことで	前進し始めた
研究が	前進し始めた
2010年に	提唱された
英国エコノミスト誌で	提唱された
用語が	提唱された
提唱された	始まった
同年に	始まった
ワトソンが	始まった
クイズ番組	なった
練習戦で	勝利し
人間に	勝利し
勝利し	なった
ニュースと	なった
2012年に	果たした
画像処理コンテストで	果たした
チームが	果たした
精度改善を	果たした
上で	優勝した
ことで	始まった
第三次AIブームが	始まった
2013年には	発表した
研究チームが	開発した
東ロボくんで	挑んだと
模擬試験に	挑んだと
発表した	解読した
専用プログラムを	使い
受験生が	臨んだ
問題を	解読した
2014年には	提唱された
齊藤元章により	先立ち
特異点に	先立ち
進歩により	近づくという
生産コストが	近づくという
限りなく	近づくという
概念も	提唱された
ジェフホーキンスが	続けているが
実現に	向けて
研究を	続けているが
著書	考える
中で	展開している
理論を	展開している
世界各国において	進んでいるが
軍事民間共に	進んでいるが
実用化に	向け
研究開発が	進んでいるが
開発が	進行している
2010年代には	利用されているが
自動化は	利用されているが
ものに	留まった
UCAVは	利用されているが
地上から	行っている
ロボット向けとしては	登場している
ロドニー・ブルックスが	提唱した
理論が	登場している
登場している	用いている
これは	用いている
我	ありの
知が	先行する
ものではなく	用いている
神経ネットワークのみを	用いて
環境から	学習する
行動型システムを	用いている
これに	基づいた
ゲンギスと	呼ばれる
ロボットは	行動する
脳を	持たないにも
ように	行動する
10月に	作成した
米DeepMind社が	作成した
AlphaGoが	注目され
プロ囲碁棋士に	勝利して以降は
勝利して以降は	注目され
ディープラーニングと	呼ばれる
手法が	注目され
注目され	進められている
人工知能が	与える
雇用などに	与える
影響についても	進められている
研究が	進められている
DeepMindが	発表し
関連性を	導き出し
ものを	導き出す
ディファレンシャブル・ニューラル・コンピューターを	発表し
データが	可能にする
ワンショット学習を	可能にする
認識能力を	持つ
開発	解決した
8月には	解決した
記号接地問題(シンボルグラウンディング問題)を	解決した
計算資源と	なる
高性能化により	優勝した
2012年に	優勝した
ディープラーニングが	優勝した
画像処理コンテストで	付けて
手法に	付けて
圧倒的大差を	付けて
ことで	受け止められるようになった
概念は	受け止められるようになった
急速に	集め
注目を	集め
現実味を	持って
受け止められるようになった	立ち上げられている
普及を	受けて
現場においては	立ち上げられている
デミス・ハサビス	率いる
筆頭に	立ち上げられている
AGIを	開発する
プロジェクトが	立ち上げられている
現場では	されている
脳を	リバースエンジニアリングして
リバースエンジニアリングして	構築された
機械学習を	組み合わせる
有望と	されている
結果として	提唱され始めている
タスクのみを	扱う
ディープラーニングから	進んだ
一歩	進んだ
タスクを	扱う
理論が	提唱され始めている
仮想空間で	動かし
モデルを	動かし
ことを	学ばせるといった
高速に	学ばせるといった
ことも	上げている
成果を	上げている
不可能と	考えて
身体知を	再現する
必要だと	する
振る舞いを	見せる
作成に	挑む
関係に	あると
人工意識に	挑戦する
研究者も	いる
コストで	入るようになった
計算リソースが	入るようになった
手に	入るようになった
ことで	寄せており
ビッグデータが	出現し
出現し	寄せており
企業が	寄せており
活用に	寄せており
関心を	寄せており
全世界的に	行って
民間企業主導で	行って
投資を	行って
研究開発競争が	展開されている
展開されている	整備され始めている
嚆矢として	実用化され始めた
ITインフラが	実用化され始めた
急速に	実用化され始めた
事で	整備され始めている
高速化にも	関わる
組み合わせ最適化問題を	解決できる
リアルタイムに	解決できる
環境が	整備され始めている
整備され始めている	目立つようになった
動向を	受ける
形で	目立つようになった
2016年頃から	目立つようになった
ニュース番組でも	目立つようになった
報道が	目立つようになった
2017年には	なった
イーロン・マスクが	取らないようにする
急速に	進化し続ける
人工知能に対して	取らないようにする
人間が	取らないようにする
遅れを	取らないようにする
ために	立ち上げていた
脳を	接続する
機械に	接続する
ブレイン・マシン・インターフェースを	研究開発する
ニューラ・リンク社を	立ち上げていた
ことを	公表し
公表し	なった
世界中で	なった
話題に	なった
ブレイン・マシン・インターフェースにより	予測されている
インターネットが	出現する
事が	予測されている
10月には	学習できる
ジェフリーヒントンにより	学習できる
位置関係まで	含めて
カプセルネットワークが	提唱された
提言に	よると
AIを	活用する
事で	寄与できると
社会変革に	寄与できると
寄与できると	分析されている
OpenAIが	実装し
好奇心を	実装し
実装し	行う
無報酬で	行う
探索を	行う
公表	いう
人間らしいと	いう
9月	開発した
MITリンカーン研究所は	開発した
推論を	識別したのかが
段階を	経て
識別したのかが	分かる
明確に	分かる
アーキテクチャを	開発した
2019年に	入ると
これまで	されてきた
困難と	されてきた
言語処理において	あり
進展が	あり
Wikipediaなどを	使用した
読解テストで	上回るに
人間を	上回るに
Googleは	開発している
アレン脳科学研究所と	連携し
連携し	生まれた
脳スキャンによって	生まれた
データを	処理する
ソフトウェアを	開発している
開発している	達していると
時点で	達していると
Googleが	管理している
データ量は	達していると
1Zettaバイトに	達していると
Googleは	始めており
マックスプランク研究所とも	始めており
共同研究を	始めており
電子顕微鏡写真から	再構成するという
神経回路を	再構成するという
研究を	行っている
中国では	推進してる
第13次5カ年計画から	位置づけ
AIを	位置づけ
国家プロジェクトに	位置づけ
脳研究プロジェクトとしても	立ち上げ
立ち上げ	推進してる
官民一体で	推進してる
研究開発を	推進してる
推進してる	投じられてもいる
教育機関では	投じられてもいる
天才児を	集めて
開発に	投じられてもいる
教授やなどに	よれば
中国では	あると
欧米と	比較して
比較して	あると
実験を	しやすい
環境に	あると
日本で	推進している
研究開発を	推進している
齊藤元章も	リードする
開発において	リードする
中国が	リードする
可能性を	主張している
主張している	される
4分の3は	される
中国が	占めてるとも
米国政府に	よれば
2013年から	なっている
論文数では	なっている
中国が	なっている
米国を	超えて
世界一と	なっている
大会でも	独占している
中国勢が	独占している
上位を	独占している
独占している	取り上げた
幹部でも	あった
台湾系アメリカ人科学者のは	取り上げた
中国が	握りつつあると
AIで	握りつつあると
覇権を	握りつつあると
メディアなどが	取り上げた
フランス大統領エマニュエル・マクロンは	招致した
開発支援に	向け
5年で	支出すると
約1600億円を	支出すると
支出すると	宣言し
宣言し	開き
AI研究所を	開き
パリに	開き
富士通などを	招致した
招致した	決定されている
連携も	決定されている
215億ユーロが	投じられる
韓国は	する
2022年までに	する
投資を	する
AI機関を	設立し
設立し	作られた
褒賞制度も	作られた
目標は	入ることだと
2022年までに	入ることだと
世界トップ4に	入ることだと
入ることだと	いう
日経新聞調べに	よると
プログラミング言語は	使われている
ほか	使われている
Pythonが	使われている
深層学習を	利用するには
数学知識が	なる
必要と	なる
脳シミュレーションを	行うには
知識も	重要となる
松尾豊は	いる
著書	否定しているが
人工知能は	否定しているが
人間を	超えるか内に
超えるか内に	於いて
人間に対して	起こす
反乱を	起こす
可能性を	否定しているが
否定しているが	いる
危険性について	いる
警鐘を	鳴らしている
著名人も	いる
教授は	変わると
弾圧を	併せ持つ
中華人民共和国が	成功すれば
開発競争で	成功すれば
既成概念が	変わると
一人と	呼ばれているは
中国が	利用している
政治目的で	利用している
人工知能を	利用している
ことに	鳴らしており
警鐘を	鳴らしており
メディアなどは	呼んだ
中国に	代表される
人工知能で	抑圧する
人権を	抑圧する
政治体制を	呼んだ
AI独裁と	呼んだ
中国では	行われている
帽子に	埋め込んだ
センサーから	監視する
感情を	監視する
人工知能で	監視する
プロジェクトが	推し進められ
歩行者まで	行わせ
監視を	行わせ
人工知能に	行わせ
ロボットに	搭載するなど
天網を	搭載するなど
監視社会管理社会化が	行われている
新疆ウイグル自治区では	予防拘禁していると
携帯電話などから	収集した
個人情報を	選別した
人工知能で	解析するや
人種プロファイリングで	選別した
ウイグル族を	経ずに
法的手続きを	経ずに
6月時点で	犯す
約1万5千人も	犯す
犯罪を	犯す
可能性が	あるとして
新疆ウイグル再教育キャンプに	予防拘禁していると
予防拘禁していると	する
内部文書であるが	報じられており
AIを	使った
コンピュータが	送る
人間を	送る
強制収容所に	送る
人権侵害は	なっている
国際問題に	なっている
香港では	破壊された
監視社会化を	恐れ
香港民主化デモが	起きた
際は	破壊された
監視カメラを	搭載した
スマート街灯が	破壊された
市民に	破壊された
破壊された	懸念されている
中国は	輸出しており
AI監視技術を	輸出しており
世界各国に	輸出しており
輸出しており	懸念されている
ITUを通じて	主導してる
中国が	主導してる
国際標準化も	主導してる
ことから	懸念されている
人権侵害が	拡散する
世界に	拡散する
ことが	懸念されている
人権団体などから	懸念されている
社会信用システムに	代表されるような
代表されるような	決める
人工知能で	活用して
ビッグデータを	活用して
活用して	決める
適性を	決める
制度は	繋がると
格差を	固定化する
ことに	繋がると
懸念が	あり
欧州連合では	施行された
5月から	施行された
差別を	認めない
EU一般データ保護規則が	施行された
マサチューセッツ工科大学が	なった
精度で	なった
Megviiは	なった
9割超で	達したのに対して
IBMは	達したのに対して
8割に	達したのに対して
達したのに対して	あると
Amazonは	あると
6割で	あると
バイアスが	あると
研究を	発表した
際は	なった
Amazonと	なった
論争に	なった
軍隊は	試みている
自動化を	試みている
アメリカ海軍は	破壊できる
ファランクスCIWSを	導入し
導入し	破壊できる
ガトリング砲により	破壊できる
対艦ミサイルを	破壊できる
破壊できる	射殺している
イスラエル軍は	所有し
アイアンドームを	所有し
所有し	射殺している
境界線には	射殺している
標的を	自動検知する
サムソンRCWSを	稼働させて
稼働させて	射殺している
人間を	射殺している
射殺している	ある
今後	生み
AIは	生み
軍事能力を	生み
展開を	変え
戦争を	一変させ
一変させ	なるとの
変化は	なるとの
軍事バランスを	決める
ことに	なるとの
主張も	ある
1(哨戒機)のように	搭載される
戦闘指揮システムに	搭載される
支援用に	搭載される
ことも	ある
6月	開発した
研究チームが	開発した
ALPHAは	発表された
模擬空戦で	勝利したと
一方的に	勝利したと
勝利したと	発表された
AIプログラムは	使用しており
ファジィ制御を	使用しており
処理能力は	せず
必要と	せず
動作可能	した
アメリカ合衆国国防総省は	した
観点から	介さない
判断を	介さない
開発禁止令を	出し
2012年に	出し
2017年には	した
これを	した
ものに	した
人工知能に	勝ち残る
人間が	勝ち残る
力として	注目されている
OODAループが	注目されている
首脳らは	主張している
軍事利用により	加速すると
不安定化は	加速すると
加速すると	主張している
2015年に	開催された
ブエノスアイレスで	開催された
人工知能国際合同会議で	出されたが
企業家らにより	出されたが
公開書簡が	出されたが
銃火器を	操る
核兵器に	続く
革命と	とらえられ
一部は	実用可能となると
数年以内に	実用可能となると
予測	盛り込まれなかった
選別攻撃などに	利用され
利用され	記された
開発競争が	ならないと
人類にとって	ならないと
ものとは	ならないと
4月には	求めている
ヒューマン・ライツ・ウォッチが	求めている
禁止を	求めている
11月には	行われ
国際連合で	行われ
公式専門家会議が	行われ
8月に	盛り込まれなかった
同会議は	盛り込まれなかった
運用を	めぐる
国際ルールを	採択するも
採択するも	盛り込まれなかった
法的拘束力は	盛り込まれなかった
状態に	あるとも
米国中国ロシアは	行っている
核開発に	匹敵する
開発競争を	行っている
軍事利用をめぐって	行っている
中国は	されている
6月に	成功した
自律飛行実験で	成功した
飛行実験に	成功した
記録を	更新して
更新して	発表し
5月には	発表し
都市を	爆撃する
映像も	発表し
発表し	進展しており
6月には	進展しており
自律無人艇を	使った
試験を	行うなど
スウォームと	呼ばれる
統合運用で	進展しており
中国が	進展しており
急速に	進展しており
進展しており	されている
アメリカに	追い付く
可能性が	ある
ことについて	懸念し
懸念し	あるとの
アメリカ側では	あるとの
将来に	備える
必要が	あるとの
主張も	されている
軍用AI開発は	与え
政界に	与え
危機感を	与え
パトリック・シャナハン国防長官代行	なった
ドナルドトランプ大統領は	なった
設立などで	協力していると
中国人民解放軍に	協力していると
協力していると	非難し
Googleを	非難し
非難し	釈明する
CEOサンダー・ピチャイは	開放されていると
トランプ大統領と	面談して
面談して	開放されていると
成果は	開放されていると
中国に	限らず
人々に	開放されていると
開放されていると	釈明する
事態に	なった
アメリカでは	暴露されており
Googleが	協力する
軍事利用に	協力する
メイヴン計画を	行っていた
ことが	暴露されており
社員に	暴露されており
暴露されており	受けた
公聴会では	受けた
同様に	暴露された
中国政府に	協力する
人工知能を	用いた
人権侵害は	拒否すると
拒否すると	受けた
Googleが	誓った
整合性で	受けた
追及を	受けた
標的選択支援アルゴリズムに	関わったと
AI研究者が	関わったと
際は	否定した
モデリングと	否定した
否定した	呼んだ
Microsoftが	発表した
共同研究を	発表した
際も	呼んだ
同様に	呼んだ
波紋を	呼んだ
11月に	鳴らした
マーク・エスパー国防長官は	鳴らした
中国が	構築しているだけでなく
AIによって	構築しているだけでなく
監視国家を	構築しているだけでなく
構築しているだけでなく	販売している
中東で	拡散させて
無人攻撃機を	拡散させて
大量に	拡散させて
拡散させて	攻撃する
AIで	攻撃する
自律的に	攻撃する
ドローン兵器も	販売している
ことに	鳴らした
警鐘を	鳴らした
中国は	実用化してると
実用化してると	される
他	挙げられている
個人を	攻撃したり
攻撃したり	なりすましたり
ディープフェイクで	なりすましたり
ボット投稿により	操る
世論を	操る
懸念が	挙げられている
Googleは	発表した
3月	設置すると
人工知能プロジェクトを	指導する
倫理面で	指導する
ために	構成される
哲学者政策立案者経済学者テクノロジスト等で	構成される
構成される	設置すると
AI倫理委員会を	設置すると
設置すると	発表した
発表した	要請した
倫理委員会には	含まれており
反科学反マイノリティ・地球温暖化懐疑論等を	支持する
人物も	含まれており
Google社員らは	要請した
解任を	要請した
要請した	発表した
4月4日	発表した
Googleは	発表した
倫理委員会が	発表した
期待どおりに	機能できない
ことが	判明したという
理由で	発表した
解散を	発表した
東洋哲学を	吸収させるという
AIに	吸収させるという
テーマに	応じて
井口尊仁は	挙げ
プロジェクトを	挙げ
アニミズムで	ありますと
ものに	見いだす
霊的存在を	見いだす
文化が	ありますと
立石従寛に	語る
アニミズム的人工知能論は	通じている
悟りを	やって
AIに	やらせるかを
哲学塾東洋哲学篇にも	通じている
アンソニーレバンドウスキーは	示している
2017年	示している
AIを	する
神と	する
宗教団体	示している
道)」を	創立している
創立している	示している
使命は	表現されており
AIに	基づいた
実現を	促進し
促進し	開発する
崇拝を通して	良くする
社会を	良くする
ことに	貢献する
ことと	表現されており
抽象的に	表現されており
表現されており	報道した
海外メディアは	報道した
歴史などと	関連付けて
報道した	示している
Waymoは	示している
レバンドウスキーが	盗用した
機密情報を	盗用した
ことを	訴え
裁判を	行っている
一方	示している
レバンドウスキーは	示している
元CEO	発言するなど
トラビスカラニックに対し	発言するなど
ひとつずつ	征服するんだと
我々は	征服するんだと
世界を	征服するんだと
征服するんだと	発言するなど
振る舞いを	示している
釈徹宗は	述べている
線引きも	不明瞭になってきていますと
不明瞭になってきていますと	述べている
内田樹に	よれば
哲学者は	していると
みんな	していると
話を	していると
発明家レイカーツワイルが	言うには
哲学者ジョンサールが	提起した
話題である	主張している
ダニエル・デネットに	よると
思考実験は	主張している
意識が	実現できないと
形式論理システムによって	実現できないと
実現できないと	主張している
科学を	語るとは
ことかにおいて	言う
須藤靖は	言う
科学哲学が	指摘している
科学と	断絶している
ことを	指摘している
指摘している	言う
問題を	解明してきた
コンピュータ科学人工知能研究開発等に	関連して
関連して	批判している
フランシスクリックは	批判している
長い間	残してこなかったと
何も	残してこなかったと
成果を	残してこなかったと
批判している	評価されている
観点において	評価されている
哲学は	過ぎないと
学問科学に	過ぎないと
評価されている	言う
澤口俊之は	言う
クリックに	賛同し
賛同し	述べている
これは	なるが
私の	ため息まじりの
愚痴に	なるが
思想家というのは	思うと
暇だと	思うと
哲学は	始まったと
スコレーから	始まったと
アリストテレスが	伝えており
的外れではないと	言う
野家啓一は	言う
哲学者は	語ろうとしてきた
科学とは	違う
日常的言語で	語ろうとしてきた
宇宙を	語ろうとしてきた
理論物理学者ディラックは	信用していなかった
哲学者を	信用していなかった
信用していなかった	されている
ディラックが	見た
ところ	されている
ウィトゲンシュタインを	含め
量子力学どころか	理解していない
概念さえ	理解していない
理解していない	されている
日常的言語を	使っても
意思疎通を	行う
ことは	できないというのが
考えだと	されている
合原一幸編著	創られるに
人工知能は	創られるに
発展に	伴って
哲学が	論じられているが
一部で	論じられているが
特異点と	言っても
話ではない	記している
前掲書は	記している
シンギュラリティと	関係した
議論における	超えるという
脳を	超えるという
言明自体が	定義できていないと
定義できていないと	記している
確かに	起こり得るかもしれない
脳を	捉える
デジタル情報処理システムとして	捉える
観点から	見れば
シンギュラリティは	起こり得るかもしれない
脳は	考えられている
アナログが	融合した
ことが	示されている
観察結果で	示されている
前掲書に	よると
神経膜では	存在し
ノイズが	存在し
存在し	生み出されている
アナログ量によって	生み出されている
カオスが	生み出されている
ため	考えられている
状況を	記述する
デジタルで	記述する
困難と	考えられている
田中一之は	述べており
専門家ではないと	述べており
トルケルフランセーンは	批判している
多くが	批判している
自由連想に	基づいていると
批判している	酷評された
田中に	よると
不完全性定理について	書いた
哲学者が	書いた
本が	書店販売されていたが
頃に	書店販売されていたが
書店販売されていたが	酷評された
本は	酷評された
専門誌によって	酷評された
酷評された	説明していた
不動点定理について	説明していた
勘違いを	したまま
したまま	説明していた
説明していた	見られる
間違いは	見られる
入門書などにも	見られる
フランセーンに	よれば
誤解誤用は	起こっており
はじめ	起こっており
一般に	起こっており
神学でも	乱用されている
1931年に	示したのは
ゲーデルが	示したのは
科学を	語るとは
ことかに	よると
学問の	扱う
問題が	整理され
整理され	分化した
ことで	研究するようになった
哲学も	異なる
それぞれ	異なる
問題を	研究するようになった
研究するようになった	述べた
これは	述べた
細分化そのものであり	言う
進歩だと	言う
須藤は	言う
伊勢田哲治は	述べた
要素を	含んだ
大きな問題を	扱う
哲学的統一的に	扱う
天文学について	言及した
言及した	返している
天文学では	扱わなくなりましたし
哲学的問題を	扱わなくなりましたし
物理学でも	扱わないと
問題を	扱わないと
伊勢田に対し	返している
須藤は	返している
その通りですが	あるのでしょうかと
それ自体に	あるのでしょうかと
何か	あるのでしょうかと
問題が	あるのでしょうかと
あるのでしょうかと	返している
須藤は	述べた
次のようにも	述べた
須藤は	している
哲学的に	論じられている
言葉を	取り上げて
言葉を	定義しない
具体的に	定義しない
不可能ですと	述べており
哲学者が	持っている
興味を	持っている
定義が	違う
物理学者とは	違う
確かでしょうと	している
伊勢田は	述べている
違いというのは	大きいのかもしれませんと
