ID	予測	正解	予測確率
109	b	b	0.875
110	e	e	0.850
111	e	e	0.821
112	e	m	0.755
113	t	t	0.684
114	e	e	0.839
115	b	b	0.828
116	b	b	0.922
117	t	t	0.422
118	e	e	0.911
119	e	e	0.512
120	e	e	0.846
121	b	b	0.865
122	b	b	0.746
123	b	b	0.876
124	b	b	0.977
125	b	b	0.771
126	e	b	0.371
127	b	b	0.925
128	e	e	0.941
129	t	t	0.906
130	b	b	0.855
131	e	e	0.815
132	b	b	0.787
133	b	b	0.874
134	b	b	0.810
135	b	b	0.972
136	e	b	0.429
137	m	m	0.819
138	t	t	0.311
139	e	e	0.509
140	b	b	0.890
141	b	b	0.935
142	b	b	0.632
143	e	e	0.985
144	e	e	0.875
145	e	e	0.831
146	b	b	0.854
147	b	m	0.450
148	e	m	0.604
149	e	m	0.355
150	e	e	0.761
151	b	b	0.932
152	e	e	0.675
153	e	e	0.832
154	b	b	0.943
155	t	t	0.731
156	e	e	0.947
157	e	e	0.948
158	b	b	0.955
159	e	e	0.659
160	b	b	0.807
161	b	b	0.703
162	b	b	0.514
163	b	b	0.917
164	m	m	0.585
165	b	b	0.981
166	b	b	0.757
167	b	b	0.949
168	b	t	0.951
169	b	b	0.815
170	e	e	0.663
171	t	m	0.288
172	b	b	0.755
173	t	t	0.656
174	e	e	0.786
175	t	t	0.831
176	b	b	0.335
177	b	b	0.704
178	e	b	0.677
179	e	e	0.703
180	e	e	0.925
181	b	b	0.714
182	b	b	0.841
183	e	e	0.943
184	b	b	0.698
185	b	b	0.602
186	t	b	0.483
187	b	b	0.842
188	e	e	0.550
189	e	e	0.738
190	e	e	0.897
191	b	b	0.701
192	b	b	0.697
193	b	b	0.943
194	b	m	0.505
195	b	b	0.781
196	b	b	0.613
197	m	m	0.822
198	e	e	0.658
199	e	e	0.914
200	b	m	0.533
201	e	e	0.521
202	e	m	0.534
203	e	e	0.708
204	b	b	0.558
205	e	e	0.918
206	e	e	0.845
207	b	b	0.676
208	b	b	0.688
209	b	b	0.742
210	b	e	0.405
211	e	e	0.895
212	b	b	0.994
213	m	m	0.347
214	b	b	0.981
215	e	e	0.554
216	b	b	0.657
217	m	m	0.426
218	e	m	0.435
219	b	b	0.498
220	e	e	0.692
221	b	b	0.961
222	e	e	0.726
223	e	t	0.550
224	b	e	0.968
225	b	b	0.811
226	b	b	0.942
227	e	e	0.936
228	e	e	0.907
229	e	e	0.860
230	e	b	0.594
231	e	e	0.989
232	b	b	0.948
233	e	e	0.470
234	t	t	0.759
235	b	b	0.767
236	b	b	0.864
237	b	b	0.775
238	e	e	0.785
239	e	e	0.887
240	e	e	0.968
241	b	b	0.980
242	e	e	0.818
243	b	b	0.540
244	e	e	0.814
245	e	e	0.899
246	b	b	0.920
247	t	t	0.513
248	m	m	0.591
249	e	e	0.965
250	b	b	0.782
251	e	e	0.620
252	e	e	0.860
253	b	t	0.468
254	b	b	0.828
255	b	b	0.768
256	b	t	0.469
257	e	e	0.984
258	e	e	0.962
259	e	e	0.700
260	t	t	0.749
261	b	b	0.794
262	b	b	0.810
263	b	b	0.486
264	b	b	0.723
265	b	b	0.831
266	t	t	0.828
267	b	b	0.974
268	b	b	0.850
269	b	b	0.691
270	t	b	0.487
271	t	t	0.544
272	e	e	0.617
273	e	e	0.840
274	b	b	0.981
275	e	e	0.755
276	t	t	0.473
277	e	e	0.724
278	e	e	0.689
279	b	b	0.974
280	e	e	0.682
281	e	e	0.865
282	e	e	0.691
283	b	t	0.332
284	e	e	0.969
285	b	b	0.496
286	t	t	0.785
287	e	e	0.758
288	e	e	0.733
289	b	b	0.857
290	b	b	0.617
291	t	t	0.520
292	b	t	0.730
293	b	b	0.959
294	e	b	0.436
295	e	e	0.899
296	m	m	0.699
297	b	b	0.981
298	t	t	0.529
299	b	b	0.850
300	b	b	0.850
301	e	b	0.596
302	b	b	0.595
303	e	e	0.987
304	e	e	0.985
305	m	m	0.566
306	b	b	0.987
307	b	b	0.781
308	t	t	0.798
309	e	e	0.571
310	b	b	0.860
311	b	b	0.914
312	e	e	0.805
313	e	e	0.943
314	b	b	0.915
315	e	e	0.921
316	t	b	0.538
317	m	m	0.279
318	e	e	0.907
319	b	b	0.953
320	e	m	0.515
321	t	b	0.506
322	t	t	0.552
323	b	b	0.979
324	e	e	0.836
325	b	b	0.665
326	b	t	0.431
327	e	m	0.862
328	t	t	0.917
329	e	e	0.932
330	m	m	0.832
331	b	b	0.804
332	b	b	0.860
333	e	e	0.931
334	e	e	0.881
335	e	e	0.494
336	e	e	0.515
337	t	t	0.520
338	e	e	0.810
339	b	b	0.786
340	b	b	0.982
341	b	m	0.512
342	e	e	0.758
343	e	e	0.687
344	e	e	0.739
345	e	e	0.632
346	e	e	0.920
347	e	e	0.658
348	b	b	0.754
349	b	b	0.372
350	e	e	0.863
351	e	e	0.903
352	b	b	0.675
353	e	e	0.718
354	e	e	0.850
355	e	e	0.625
356	e	e	0.718
357	e	b	0.583
358	e	e	0.848
359	e	e	0.783
360	e	e	0.775
361	t	t	0.439
362	m	m	0.730
363	e	e	0.991
364	m	m	0.510
365	e	e	0.883
366	e	e	0.842
367	e	e	0.903
368	e	e	0.654
369	e	e	0.616
370	b	b	0.799
371	b	b	0.538
372	e	e	0.567
373	b	b	0.726
374	b	t	0.518
375	e	e	0.948
376	b	b	0.735
377	b	b	0.905
378	b	b	0.641
379	e	t	0.532
380	b	b	0.932
381	e	e	0.934
382	e	e	0.755
383	b	b	0.404
384	b	b	0.938
385	e	e	0.833
386	e	e	0.942
387	b	b	0.985
388	e	e	0.907
389	e	e	0.807
390	b	b	0.862
391	e	e	0.781
392	m	m	0.723
393	e	e	0.886
394	e	e	0.759
395	b	b	0.782
396	e	e	0.816
397	e	e	0.919
398	e	b	0.605
399	t	t	0.488
400	e	e	0.858
401	e	e	0.827
402	e	e	0.906
403	b	b	0.557
404	e	e	0.636
405	e	e	0.892
406	b	t	0.621
407	e	e	0.929
408	b	b	0.945
409	e	e	0.960
410	b	b	0.655
411	b	b	0.820
412	b	b	0.423
413	e	e	0.931
414	e	e	0.763
415	b	b	0.738
416	e	e	0.369
417	e	e	0.411
418	e	e	0.966
419	e	e	0.906
420	e	e	0.401
421	e	e	0.810
422	t	t	0.377
423	b	b	0.845
424	b	b	0.954
425	e	m	0.372
426	e	m	0.775
427	e	e	0.521
428	b	b	0.873
429	e	e	0.824
430	b	b	0.926
431	b	b	0.993
432	e	e	0.797
433	e	e	0.842
434	b	b	0.825
435	e	m	0.460
436	b	b	0.974
437	b	b	0.988
438	b	b	0.898
439	e	e	0.625
440	b	b	0.974
441	m	m	0.576
442	e	e	0.939
443	b	b	0.548
444	b	b	0.932
445	b	b	0.888
446	e	e	0.839
447	e	e	0.863
448	b	b	0.949
449	b	b	0.732
450	b	b	0.530
451	b	t	0.451
452	t	m	0.352
453	b	b	0.433
454	t	t	0.557
455	e	e	0.747
456	b	b	0.494
457	e	e	0.983
458	e	e	0.758
459	e	e	0.978
460	b	b	0.986
461	t	t	0.808
462	e	e	0.889
463	b	b	0.990
464	b	m	0.734
465	e	e	0.992
466	e	t	0.407
467	e	e	0.862
468	e	e	0.947
469	b	b	0.982
470	b	b	0.831
471	b	b	0.943
472	e	e	0.683
473	b	b	0.444
474	e	e	0.821
475	b	b	0.866
476	e	e	0.866
477	b	b	0.712
478	e	e	0.518
479	e	e	0.973
480	t	t	0.442
481	e	e	0.539
482	t	t	0.468
483	e	e	0.788
484	b	b	0.757
485	b	b	0.702
486	b	b	0.665
487	e	b	0.521
488	e	e	0.977
489	b	b	0.639
490	b	b	0.980
491	b	b	0.811
492	b	b	0.603
493	t	t	0.796
494	e	e	0.805
495	e	e	0.637
496	e	e	0.639
497	e	e	0.849
498	b	b	0.914
499	b	b	0.725
500	b	t	0.616
501	e	e	0.864
502	b	b	0.838
503	b	b	0.478
504	b	b	0.830
505	b	b	0.556
506	e	e	0.820
507	e	e	0.492
508	e	e	0.859
509	b	b	0.834
510	b	b	0.451
511	e	e	0.947
512	b	b	0.942
513	e	e	0.796
514	e	e	0.783
515	b	b	0.964
516	e	e	0.610
517	b	b	0.828
518	e	e	0.691
519	b	b	0.501
520	e	e	0.909
521	b	b	0.946
522	e	e	0.846
523	e	e	0.734
524	b	b	0.746
525	b	m	0.686
526	e	e	0.974
527	e	e	0.910
528	t	t	0.516
529	b	b	0.958
530	b	b	0.400
531	b	b	0.902
532	b	b	0.966
533	m	m	0.560
534	b	b	0.933
535	e	e	0.733
536	b	b	0.870
537	b	b	0.803
538	b	b	0.973
539	b	b	0.989
540	b	b	0.887
541	t	t	0.501
542	b	b	0.926
543	b	b	0.817
544	b	b	0.939
545	t	t	0.830
546	b	m	0.495
547	b	b	0.884
548	e	e	0.899
549	e	e	0.506
550	b	b	0.784
551	b	b	0.980
552	e	b	0.557
553	e	e	0.939
554	e	e	0.981
555	e	e	0.913
556	b	b	0.987
557	b	b	0.805
558	b	b	0.969
559	b	b	0.987
560	b	b	0.883
561	b	b	0.945
562	e	e	0.820
563	b	b	0.753
564	b	t	0.328
565	e	e	0.873
566	t	t	0.749
567	e	b	0.511
568	e	b	0.548
569	b	b	0.648
570	b	b	0.796
571	e	e	0.483
572	e	e	0.818
573	b	b	0.820
574	m	m	0.810
575	b	m	0.603
576	e	e	0.956
577	t	t	0.660
578	e	e	0.926
579	e	e	0.451
580	m	m	0.574
581	b	b	0.599
582	t	t	0.507
583	e	e	0.896
584	t	t	0.344
585	e	e	0.371
586	b	b	0.955
587	b	b	0.867
588	e	b	0.672
589	b	b	0.811
590	e	m	0.809
591	e	e	0.888
592	e	e	0.578
593	t	t	0.869
594	b	b	0.672
595	b	b	0.935
596	e	e	0.798
597	e	e	0.894
598	m	m	0.407
599	b	b	0.796
600	e	e	0.639
601	b	b	0.934
602	e	e	0.734
603	t	t	0.611
604	b	b	0.972
605	b	b	0.904
606	e	e	0.927
607	b	b	0.919
608	e	t	0.460
609	e	e	0.908
610	b	b	0.676
611	e	e	0.877
612	b	b	0.920
613	t	t	0.798
614	e	e	0.975
615	e	e	0.990
616	b	b	0.845
617	b	b	0.969
618	b	b	0.972
619	b	b	0.895
620	m	m	0.621
621	b	b	0.754
622	e	e	0.935
623	e	e	0.638
624	b	b	0.955
625	m	m	0.629
626	b	b	0.926
627	b	b	0.427
628	e	e	0.557
629	e	e	0.883
630	e	t	0.383
631	b	b	0.925
632	e	e	0.927
633	b	b	0.962
634	b	t	0.414
635	e	e	0.491
636	b	b	0.766
637	e	e	0.862
638	t	t	0.678
639	b	b	0.874
640	m	m	0.398
641	e	e	0.532
642	e	e	0.731
643	e	e	0.780
644	b	b	0.678
645	b	b	0.865
646	e	e	0.503
647	e	e	0.802
648	t	t	0.549
649	m	m	0.542
650	e	e	0.970
651	e	e	0.947
652	b	b	0.805
653	e	e	0.979
654	b	b	0.753
655	e	e	0.872
656	e	e	0.415
657	b	b	0.804
658	e	e	0.883
659	b	b	0.939
660	e	e	0.880
661	b	b	0.948
662	t	t	0.308
663	e	e	0.579
664	e	e	0.768
665	e	e	0.901
666	e	e	0.931
667	b	b	0.426
668	e	e	0.777
669	e	e	0.896
670	e	e	0.882
671	e	e	0.687
672	b	b	0.359
673	m	m	0.505
674	m	m	0.727
675	t	t	0.573
676	e	e	0.870
677	b	t	0.768
678	e	e	0.847
679	b	b	0.939
680	e	e	0.576
681	e	e	0.983
682	b	b	0.642
683	e	e	0.709
684	t	t	0.404
685	b	b	0.934
686	e	e	0.742
687	e	e	0.759
688	e	e	0.914
689	b	b	0.940
690	e	e	0.861
691	b	b	0.936
692	b	t	0.693
693	b	b	0.947
694	e	e	0.383
695	e	e	0.786
696	e	e	0.980
697	e	e	0.680
698	b	b	0.798
699	e	e	0.744
700	t	t	0.588
701	b	b	0.886
702	e	e	0.916
703	b	b	0.782
704	b	b	0.971
705	m	m	0.446
706	e	e	0.903
707	t	t	0.633
708	e	e	0.681
709	b	b	0.904
710	b	t	0.497
711	m	m	0.767
712	e	m	0.711
713	b	b	0.966
714	e	e	0.905
715	e	e	0.771
716	t	t	0.599
717	t	t	0.510
718	e	e	0.543
719	b	e	0.778
720	b	b	0.931
721	m	m	0.456
722	e	e	0.863
723	b	b	0.895
724	b	b	0.847
725	b	b	0.860
726	b	b	0.920
727	b	b	0.850
728	e	e	0.737
729	b	b	0.554
730	e	e	0.862
731	e	e	0.766
732	e	e	0.950
733	b	b	0.947
734	e	e	0.726
735	b	b	0.942
736	e	e	0.658
737	b	b	0.969
738	b	b	0.898
739	b	b	0.794
740	b	b	0.796
741	b	b	0.638
742	e	e	0.669
743	e	e	0.694
744	b	b	0.953
745	e	t	0.623
746	e	e	0.766
747	b	b	0.951
748	e	e	0.927
749	e	e	0.735
750	t	t	0.739
751	b	b	0.980
752	b	b	0.893
753	b	b	0.822
754	e	e	0.772
755	b	b	0.955
756	e	e	0.917
757	e	e	0.917
758	b	b	0.761
759	b	b	0.408
760	b	b	0.871
761	e	e	0.803
762	e	t	0.452
763	m	m	0.373
764	e	e	0.992
765	e	t	0.535
766	e	e	0.943
767	e	e	0.808
768	e	e	0.708
769	b	b	0.948
770	e	e	0.915
771	e	t	0.516
772	e	e	0.581
773	e	e	0.922
774	e	e	0.835
775	b	b	0.891
776	e	e	0.717
777	b	b	0.623
778	b	b	0.736
779	e	e	0.811
780	t	t	0.491
781	b	b	0.887
782	e	e	0.816
783	e	e	0.750
784	b	t	0.397
785	e	e	0.940
786	b	b	0.663
787	t	t	0.703
788	b	b	0.605
789	b	b	0.950
790	b	b	0.779
791	e	e	0.536
792	b	b	0.627
793	e	e	0.824
794	b	b	0.892
795	e	e	0.946
796	b	b	0.918
797	b	b	0.852
798	e	e	0.486
799	e	e	0.935
800	t	t	0.922
801	b	b	0.836
802	e	e	0.834
803	e	e	0.983
804	e	e	0.895
805	e	e	0.803
806	b	b	0.610
807	b	b	0.914
808	b	b	0.949
809	e	b	0.499
810	e	e	0.900
811	e	e	0.819
812	t	t	0.528
813	e	e	0.888
814	e	e	0.781
815	e	e	0.948
816	e	e	0.860
817	e	e	0.951
818	t	t	0.742
819	e	e	0.956
820	b	b	0.647
821	b	b	0.550
822	b	b	0.882
823	e	t	0.363
824	b	m	0.646
825	m	m	0.450
826	e	e	0.503
827	e	e	0.868
828	b	b	0.956
829	b	b	0.813
830	e	e	0.939
831	e	e	0.844
832	e	e	0.893
833	b	b	0.611
834	e	e	0.777
835	b	b	0.975
836	b	b	0.557
837	t	t	0.759
838	e	e	0.681
839	b	b	0.970
840	b	b	0.879
841	e	e	0.954
842	b	b	0.968
843	b	b	0.465
844	e	b	0.432
845	b	b	0.875
846	b	b	0.967
847	b	b	0.805
848	b	b	0.937
849	e	e	0.716
850	e	e	0.809
851	t	b	0.494
852	b	b	0.986
853	e	e	0.951
854	b	b	0.631
855	b	b	0.964
856	b	b	0.618
857	e	e	0.881
858	e	e	0.518
859	e	e	0.785
860	e	e	0.821
861	e	e	0.743
862	b	b	0.944
863	b	b	0.529
864	e	e	0.653
865	m	m	0.656
866	e	e	0.411
867	b	b	0.732
868	e	e	0.943
869	t	t	0.591
870	b	b	0.938
871	b	b	0.534
872	b	b	0.693
873	b	b	0.977
874	e	e	0.928
875	b	m	0.386
876	e	e	0.801
877	b	b	0.979
878	b	b	0.851
879	e	e	0.917
880	e	e	0.848
881	t	t	0.718
882	t	t	0.511
883	e	e	0.996
884	e	e	0.927
885	e	e	0.828
886	e	e	0.883
887	b	b	0.943
888	e	e	0.912
889	e	e	0.769
890	e	t	0.417
891	b	b	0.743
892	e	e	0.663
893	b	b	0.982
894	e	e	0.805
895	b	b	0.961
896	b	b	0.553
897	e	e	0.779
898	e	e	0.906
899	e	e	0.977
900	e	e	0.779
901	e	e	0.833
902	e	e	0.777
903	e	e	0.743
904	b	b	0.894
905	e	e	0.943
906	t	t	0.644
907	e	e	0.951
908	b	b	0.841
909	e	e	0.876
910	b	b	0.806
911	e	e	0.769
912	e	e	0.879
913	t	t	0.765
914	e	m	0.628
915	b	b	0.974
916	e	e	0.565
917	e	e	0.981
918	e	e	0.732
919	e	e	0.925
920	b	b	0.918
921	b	b	0.909
922	b	b	0.981
923	b	b	0.792
924	e	e	0.922
925	e	e	0.866
926	b	b	0.802
927	b	b	0.916
928	t	b	0.628
929	b	b	0.983
930	b	b	0.865
931	b	b	0.944
932	e	e	0.907
933	b	b	0.773
934	b	b	0.410
935	e	e	0.877
936	t	t	0.775
937	e	e	0.662
938	b	b	0.667
939	e	e	0.861
940	b	b	0.888
941	b	b	0.592
942	e	e	0.980
943	e	e	0.856
944	b	b	0.755
945	e	b	0.429
946	e	e	0.959
947	b	b	0.716
948	e	e	0.470
949	e	e	0.647
950	e	e	0.785
951	t	t	0.867
952	e	e	0.957
953	t	b	0.631
954	b	b	0.657
955	b	b	0.518
956	b	b	0.668
957	e	e	0.890
958	e	e	0.839
959	t	t	0.908
960	t	t	0.885
961	b	b	0.652
962	t	t	0.412
963	b	t	0.414
964	e	e	0.923
965	m	m	0.805
966	b	b	0.917
967	e	e	0.934
968	b	b	0.473
969	e	e	0.852
970	e	e	0.729
971	b	b	0.896
972	e	e	0.931
973	b	b	0.976
974	b	b	0.908
975	b	b	0.843
976	e	e	0.987
977	e	e	0.733
978	b	b	0.829
979	b	b	0.911
980	e	b	0.399
981	e	e	0.830
982	b	b	0.631
983	b	b	0.948
984	t	t	0.277
985	e	e	0.772
986	e	e	0.792
987	t	t	0.519
988	t	t	0.622
989	e	e	0.892
990	e	e	0.732
991	b	m	0.542
992	e	e	0.922
993	b	b	0.984
994	e	m	0.372
995	b	b	0.790
996	b	b	0.872
997	e	e	0.505
998	e	e	0.785
999	b	b	0.964
1000	b	b	0.969
1001	e	e	0.631
1002	e	e	0.761
1003	t	t	0.606
1004	e	e	0.965
1005	b	b	0.825
1006	e	e	0.867
1007	e	e	0.786
1008	b	b	0.948
1009	e	e	0.892
1010	b	b	0.958
1011	b	b	0.982
1012	e	e	0.799
1013	m	m	0.487
1014	e	e	0.832
1015	b	b	0.862
1016	b	b	0.955
1017	t	t	0.686
1018	m	m	0.331
1019	b	m	0.560
1020	e	e	0.800
1021	b	b	0.944
1022	b	b	0.953
1023	b	t	0.483
1024	e	e	0.941
1025	b	b	0.934
1026	e	e	0.868
1027	b	b	0.993
1028	e	e	0.670
1029	e	b	0.377
1030	e	e	0.985
1031	e	e	0.806
1032	b	m	0.478
1033	e	e	0.834
1034	e	e	0.939
1035	b	b	0.944
1036	b	b	0.949
1037	e	e	0.626
1038	b	b	0.899
1039	b	b	0.971
1040	e	e	0.665
1041	m	m	0.774
1042	b	t	0.679
1043	e	e	0.809
1044	b	b	0.800
1045	b	b	0.845
1046	b	b	0.824
1047	b	b	0.913
1048	b	b	0.905
1049	b	b	0.945
1050	e	e	0.779
1051	b	b	0.538
1052	e	e	0.728
1053	b	b	0.845
1054	e	e	0.804
1055	e	e	0.650
1056	e	e	0.910
1057	m	m	0.491
1058	e	e	0.897
1059	e	e	0.834
1060	e	b	0.775
1061	e	e	0.378
1062	e	e	0.608
1063	m	b	0.386
1064	b	b	0.962
1065	e	e	0.808
1066	b	b	0.994
1067	b	b	0.976
1068	e	e	0.940
1069	b	b	0.955
1070	e	e	0.794
1071	e	e	0.849
1072	e	e	0.979
1073	b	b	0.865
1074	b	b	0.915
1075	e	e	0.694
1076	e	e	0.645
1077	b	b	0.951
1078	e	e	0.932
1079	b	b	0.985
1080	b	t	0.553
1081	b	b	0.955
1082	b	b	0.809
1083	e	e	0.757
1084	e	e	0.947
1085	e	e	0.775
1086	b	t	0.896
1087	e	e	0.777
1088	e	e	0.778
1089	b	b	0.834
1090	e	e	0.794
1091	e	e	0.742
1092	t	t	0.370
1093	b	b	0.976
1094	b	b	0.837
1095	b	b	0.835
1096	e	e	0.864
1097	b	b	0.861
1098	b	t	0.813
1099	b	t	0.617
1100	b	b	0.548
1101	e	e	0.811
1102	b	t	0.468
1103	m	m	0.513
1104	b	b	0.980
1105	m	m	0.856
1106	b	b	0.820
1107	b	b	0.869
1108	b	b	0.814
1109	b	b	0.924
1110	b	b	0.715
1111	b	t	0.521
1112	e	e	0.809
1113	m	m	0.698
1114	t	t	0.606
1115	b	b	0.949
1116	e	e	0.717
1117	b	b	0.950
1118	b	b	0.901
1119	b	b	0.844
1120	e	e	0.729
1121	e	e	0.750
1122	e	e	0.843
1123	t	t	0.475
1124	e	e	0.864
1125	e	e	0.676
1126	b	b	0.770
1127	t	t	0.586
1128	e	e	0.662
1129	b	b	0.961
1130	e	e	0.870
1131	e	e	0.956
1132	e	e	0.915
1133	b	b	0.846
1134	b	b	0.838
1135	e	e	0.932
1136	b	b	0.682
1137	b	b	0.881
1138	e	e	0.633
1139	b	b	0.844
1140	e	e	0.826
1141	t	t	0.483
1142	b	b	0.874
1143	e	m	0.736
1144	b	b	0.778
1145	b	t	0.674
1146	b	b	0.723
1147	b	b	0.850
1148	b	b	0.875
1149	e	e	0.877
1150	e	e	0.969
1151	b	t	0.484
1152	b	b	0.975
1153	e	e	0.634
1154	b	b	0.606
1155	b	b	0.984
1156	b	b	0.605
1157	e	e	0.768
1158	b	b	0.853
1159	e	e	0.954
1160	e	e	0.814
1161	b	b	0.894
1162	b	b	0.768
1163	b	b	0.922
1164	e	e	0.869
1165	e	e	0.733
1166	b	e	0.427
1167	t	t	0.726
1168	b	t	0.438
1169	m	m	0.711
1170	b	b	0.941
1171	e	e	0.921
1172	e	t	0.354
1173	e	e	0.805
1174	e	e	0.669
1175	b	b	0.864
1176	e	e	0.630
1177	e	e	0.855
1178	b	b	0.989
1179	b	b	0.964
1180	b	b	0.984
1181	b	b	0.957
1182	b	b	0.807
1183	e	e	0.798
1184	e	e	0.975
1185	b	m	0.302
1186	e	t	0.385
1187	t	t	0.574
1188	b	b	0.893
1189	e	e	0.788
1190	e	e	0.906
1191	b	b	0.928
1192	e	e	0.754
1193	e	e	0.945
1194	m	b	0.415
1195	b	b	0.976
1196	b	b	0.960
1197	t	t	0.605
1198	e	e	0.863
1199	b	b	0.722
1200	e	b	0.442
1201	e	e	0.957
1202	e	e	0.936
1203	e	e	0.610
1204	b	b	0.829
1205	b	b	0.927
1206	t	t	0.844
1207	e	e	0.872
1208	b	b	0.941
1209	b	b	0.893
1210	b	b	0.934
1211	e	e	0.738
1212	e	b	0.363
1213	b	b	0.586
1214	e	e	0.906
1215	e	e	0.519
1216	b	b	0.660
1217	b	b	0.847
1218	m	m	0.517
1219	b	b	0.899
1220	e	e	0.852
1221	b	b	0.799
1222	b	b	0.734
1223	b	b	0.954
1224	e	e	0.671
1225	b	b	0.868
1226	e	e	0.419
1227	e	e	0.649
1228	b	b	0.909
1229	e	e	0.890
1230	b	b	0.942
1231	b	b	0.987
1232	b	b	0.484
1233	e	e	0.624
1234	b	e	0.451
1235	b	b	0.890
1236	b	m	0.572
1237	t	t	0.486
1238	e	e	0.876
1239	b	b	0.794
1240	b	b	0.646
1241	b	b	0.494
1242	e	e	0.875
1243	b	b	0.925
1244	b	b	0.910
1245	e	e	0.824
1246	b	b	0.469
1247	e	e	0.966
1248	e	e	0.936
1249	b	b	0.955
1250	b	b	0.920
1251	e	e	0.861
1252	b	b	0.932
1253	e	e	0.976
1254	e	e	0.737
1255	e	e	0.913
1256	b	b	0.994
1257	e	e	0.747
1258	e	e	0.733
1259	b	b	0.594
1260	e	e	0.604
1261	e	e	0.963
1262	b	b	0.963
1263	b	b	0.940
1264	e	e	0.921
1265	b	b	0.753
1266	b	b	0.978
1267	b	b	0.952
1268	b	b	0.955
1269	e	e	0.717
1270	e	b	0.558
1271	e	e	0.953
1272	e	e	0.900
1273	t	t	0.482
1274	e	e	0.799
1275	e	e	0.760
1276	b	b	0.969
1277	b	b	0.584
1278	b	b	0.940
1279	e	e	0.483
1280	e	e	0.633
1281	e	e	0.767
1282	b	b	0.793
1283	b	b	0.994
1284	b	b	0.916
1285	t	t	0.812
1286	b	b	0.587
1287	t	t	0.676
1288	e	e	0.412
1289	b	b	0.836
1290	b	b	0.437
1291	b	b	0.706
1292	e	e	0.837
1293	b	b	0.949
1294	m	m	0.382
1295	t	e	0.883
1296	e	e	0.806
1297	b	b	0.867
1298	b	b	0.833
1299	e	e	0.991
1300	b	b	0.973
1301	b	b	0.580
1302	m	m	0.357
1303	b	b	0.433
1304	m	m	0.697
1305	e	e	0.604
1306	e	t	0.316
1307	b	b	0.969
1308	m	e	0.369
1309	t	t	0.598
1310	b	b	0.917
1311	e	e	0.889
1312	b	b	0.578
1313	b	b	0.922
1314	e	e	0.898
1315	b	b	0.890
1316	b	b	0.979
1317	b	b	0.990
1318	t	t	0.639
1319	e	m	0.383
1320	b	b	0.809
1321	b	b	0.745
1322	b	b	0.897
1323	e	e	0.819
1324	e	e	0.815
1325	e	e	0.827
1326	b	b	0.897
1327	e	b	0.480
1328	m	m	0.537
1329	b	b	0.941
1330	t	b	0.793
1331	b	b	0.975
1332	b	b	0.864
1333	t	t	0.419
1334	b	b	0.780
1335	e	e	0.860
